,Job Title,Company Name,Company ID,Employment Type,Schedule,Salary From,Salary To,Salary Currency,Professional Roles,Required Experience,Region,Full Address,Address Latitude,Address Longitude,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
636,Педагог начальных классов с казахским языком обучения,"АУЕСБАЕВА ЕРКЕЖАН ЕРМЕКОВНА (Uniqkids), ИП",1890227,Полная занятость,Полный день,240000.0,250000.0,KZT,Другое,От 3 до 6 лет,Астана,"Астана, улица Куйши Дины, 14",51.145987,71.471841,https://hh.ru/applicant/vacancy_response?vacancyId=107970617,https://hh.ru/vacancy/107970617,2024-10-01T08:54:03+0300,False,...группах ( мектепалды даярлық тобы). Опыт работы с детьми обязателен: Образование <highlighttext>педагог</highlighttext> начальных классов. Знание методики. Пунктуальность. Коммуникабельность. Грамотная речь. Ответственность.,<highlighttext>Педагог</highlighttext>-воспитатель.
637,Педагог по подготовке к школе,Tilly Willy Inc,3183934,Частичная занятость,Полный день,200000.0,400000.0,KZT,"Учитель, преподаватель, педагог",Более 6 лет,Астана,"Астана, улица Шамши Калдаякова, 4",51.11817811886662,71.45798209094518,https://hh.ru/applicant/vacancy_response?vacancyId=108537689,https://hh.ru/vacancy/108537689,2024-10-29T18:31:01+0300,False,Стаж работы в школах приветствуется. Общий страж от 5 лет. Высшее педагогическое образование. Профильное дошкольное образование приветствуется.,Подготовка детей к РФМШ. Подготовка к школе (ведение основных предметов). Проведение утренников. Проведение собраний с родителями и тд.
638,Учитель химии с русским языком обучения,SEED Educational Complex,4959217,Полная занятость,Полный день,250000.0,350000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109208311,https://hh.ru/vacancy/109208311,2024-10-24T11:10:22+0300,False,,
639,IELTS Tutor,DeTrans,5738107,Полная занятость,Удаленная работа,,,,Другое,От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109407085,https://hh.ru/vacancy/109407085,2024-10-27T21:04:01+0300,False,"Свой IELTS не менее 7.5+, сертификат. Опыт преподавания IELTS не менее 1 года. Умение мотивировать и поддерживать их...",Опыт в ведении уроков IELTS обязательно от 1-го года (для подростков и взрослых). Сертификат IELTS обязателен! Проводить онлайн-уроки...
640,Учитель сингапурской математики,Частная школа имени Шокана Уалиханова,4468139,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, микрорайон Самал-3, 37/1",43.226424,76.953074,https://hh.ru/applicant/vacancy_response?vacancyId=108463682,https://hh.ru/vacancy/108463682,2024-10-10T13:13:52+0300,False,Высшее педагогическое образование в направлении - <highlighttext>учитель</highlighttext> английского языка или <highlighttext>учитель</highlighttext> математики. Английский язык не ниже уровня Intermediate. Опыт работы не...,"Преподавать математику на английском языке, как дополнительный предмет к основной программе для учеников 2-4 классов. Применять теоретические основы преподавания..."
641,Преподаватель по фортепиано,Cadans piano,5911794,Полная занятость,Гибкий график,150000.0,200000.0,KZT,Другое,От 3 до 6 лет,Астана,"Астана, улица Сауран, 18",51.112552,71.417493,https://hh.ru/applicant/vacancy_response?vacancyId=108901777,https://hh.ru/vacancy/108901777,2024-10-20T08:37:35+0300,False,Пунктуальность. Высшее Музыкальное образование. Умение находить общий язык с детьми и с их родителями.,Преподавать детям с 3х лет и взрослым. Ведение журнал посещения и отчет об успеваемости. Подготовка учеников к конкурсам и...
642,Продуктовый дизайнер,OQUWAY,10607853,Полная занятость,Полный день,250000.0,300000.0,KZT,"Дизайнер, художник",От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108362267,https://hh.ru/vacancy/108362267,2024-10-08T17:03:28+0300,False,"Опыт работы в сфере продуктового дизайна. — Знание принципов юзабилити и опыт проведения пользовательских исследований. — Уверенное владение инструментами дизайна (например, Figma...","Взаимодействие с командами разработки, методистами и <highlighttext>педагогами</highlighttext> для обеспечения согласованности дизайна с образовательными целями. — Участие в планировании и проведении пользовательских..."
643,Учитель английского языка,Opportunity,2303773,Полная занятость,Полный день,80000.0,250000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Актау,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109105230,https://hh.ru/vacancy/109105230,2024-10-23T07:40:07+0300,False,"уровень английского не ниже intermediate. -активность, пунктуальность.",индивидуальный подход к каждому студенту.
644,Учитель начальных классов с русским языком обучения,Abai International School,9728734,Полная занятость,Полный день,350000.0,450000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, Наурызбайский район, микрорайон Курамыс",43.186431,76.844072,https://hh.ru/applicant/vacancy_response?vacancyId=109643450,https://hh.ru/vacancy/109643450,2024-10-30T12:21:03+0300,False,"Оценивать эффективность обучения, учитывая освоение знаний, овладение умениями, развитие опыта творческой деятельности, познавательного интереса. Применять педагогически обоснованные и обеспечивающие высокое...","Осуществлять обучение и воспитание обучающихся с учётом специфики класса и возраста детей, проводить уроки и другие занятия в соответствии с..."
645,Учитель казахского языка в старших классах,Школа 21 века,2928734,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, микрорайон Кок-Тобе, улица Сагадата Нурмагамбетова, 150",43.263094,76.982134,https://hh.ru/applicant/vacancy_response?vacancyId=108264491,https://hh.ru/vacancy/108264491,2024-10-07T13:22:17+0300,False,Высшее педагогическое образование. Педагогический стаж работы является преимуществом. Навыки командной работы. Современный подход к преподаванию предмета. Отличные коммуникативные навыки. ,Преподавание казахского языка в старших классах с русским языком обучения.
646,Преподаватель Делопроизводство и Архив,Учебно-профессиональный центр Bilim City,9939099,Проектная работа,Гибкий график,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,"Астана, улица Динмухамеда Кунаева, 29/1",51.131474,71.428974,https://hh.ru/applicant/vacancy_response?vacancyId=108056358,https://hh.ru/vacancy/108056358,2024-10-02T13:46:00+0300,False,"Высшее образование (предоставить диплом, сертификаты/аттестат связанные с повышением квалификации в области трудового законодательства). Опыт работы не менее 5 лет.","Проводить качественное обучение. Проводить обучение по курсу: ""Делопроизводство и архив""."
647,Региональный координатор для сопровождения цифровой образовательной платформы,AMANSULTAN,10746793,Частичная занятость,Полный день,,400000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Актау,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109025951,https://hh.ru/vacancy/109025951,2024-10-22T08:31:37+0300,False,Педагогическое образование и стаж работы в качестве <highlighttext>педагога</highlighttext> или методиста не менее 3-х лет. Опыт работы в качестве руководителя...,"Работа с администрацией школ, проведение обучающих семинаров и консультаций <highlighttext>педагогов</highlighttext> в офлайн и онлайн формате. Самостоятельная работа над повышением цифровой..."
648,Учитель английского на Дюсенова 117,WiseFil образовательный центр,9232255,Полная занятость,Гибкий график,150000.0,350000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Павлодар,"Павлодар, улица Генерала Дюсенова, 117",52.278194,76.946849,https://hh.ru/applicant/vacancy_response?vacancyId=106666461,https://hh.ru/vacancy/106666461,2024-09-30T15:12:13+0300,False,Ответственность. Коммуникабельность. Исполнительность. Обучаемость. Знание своего дела.,
649,Куратор - Ментор,Ақбұлақ 1-Астана,3517530,Полная занятость,Полный день,,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108266890,https://hh.ru/vacancy/108266890,2024-10-28T13:31:36+0300,False,"Опыт работы: Опыт работы ментором, наставником, куратором или <highlighttext>преподавателем</highlighttext> будет преимуществом. Коммуникабельность: Отличные коммуникативные навыки, умение находить подход к каждому...","Оказывать помощь и поддержку в учебном процессе, отвечать на вопросы учащихся, родителей и <highlighttext>учителей</highlighttext> и помогать решать учебные задачи. "
650,Администратор в Международную компанию,Praticamente Astana,9576073,Полная занятость,Полный день,150000.0,,KZT,Администратор,От 1 года до 3 лет,Астана,"Астана, микрорайон Шубар, улица Космонавтов, 62",51.147348,71.424464,https://hh.ru/applicant/vacancy_response?vacancyId=108345908,https://hh.ru/vacancy/108345908,2024-10-08T13:56:02+0300,False,"Мы ищем супер настойчивого человека, который может доводить цели до конца! Большое желание развиваться и расти. Позитивный настрой и хорошее...",Ввод в базу полученной информации. Напоминание об оплате. Координировать расписание студентов с <highlighttext>преподавателем</highlighttext>. Нужно будет ежедневно коммуницировать с иностранцами поэтому...
651,Преподаватель английского языка,Astana Language Center,3891400,Полная занятость,Полный день,250000.0,,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, проспект Абая, 143",43.239337,76.893156,https://hh.ru/applicant/vacancy_response?vacancyId=108499150,https://hh.ru/vacancy/108499150,2024-10-11T09:11:33+0300,False,Высшее или средне-специальное образование. Опыт работы не менее 3 лет. Международные стажировки и опыт работы/учёбы за рубежом приветствуются. ,"Проведение групповых и индивидуальных занятий для детей, школьников, студентов и взрослых."
652,Преподаватель технических дисциплин,Школьные уроки,1516313,Частичная занятость,Гибкий график,150000.0,250000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Шымкент,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108913187,https://hh.ru/vacancy/108913187,2024-10-20T21:41:47+0300,False,"Математическое, физико-техническое или IT-образование. Хорошее знание школьной программы по математике и физике. Знание основ программирования, школьной программы по...","Объяснение новых тем по алгебре, геометрии и физике. Обучение информатике и основам программирования. Контроль и проверка решений. Выявление и устранение..."
653,"Преподаватель для кружка ""Primary Science""",Кайнар центр,5624453,Полная занятость,Сменный график,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Атырау,"Атырау, микрорайон Самал, 31-я улица, 4",47.123124,51.877762,https://hh.ru/applicant/vacancy_response?vacancyId=109137981,https://hh.ru/vacancy/109137981,2024-10-23T12:46:14+0300,False,"Базовые знания физики и химии для проведения простых экспериментов и объяснений. - Творческий подход к обучению, готовность воплощать готовую учебную программу...","Проведение нестандартных уроков по физике, химии и другим естественным наукам для детей начальных классов в рамках готовой учебной программы. - "
654,Учитель начальных классов,Образовательный центр Сириус,10006566,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 3 до 6 лет,Алматы,"Алматы, проспект Назарбаева, 65",43.263501,76.945259,https://hh.ru/applicant/vacancy_response?vacancyId=109401766,https://hh.ru/vacancy/109401766,2024-10-27T19:51:29+0300,False,"Высшее или среднее профессиональное образование. - Профессиональные компетенции : умение заинтересовать процессом обучения, владение и применение методов и методик преподавания. - ",Проведение занятий с учетом индивидуального подхода к каждому ребенку. - Контроль за качественным выполнением домашнего задания. - Отработка пробелов в знаниях учащихся. - 
655,Учитель английского языка,TED Company,10767993,Полная занятость,Гибкий график,150000.0,450000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109647448,https://hh.ru/vacancy/109647448,2024-10-30T12:50:23+0300,False,Умение работать с детьми (1-11 классы). Требования: Знание грамматики на высоком уровне. Ответственный подход к урокам. Пунктуальность. ,Ответственность за подготовку материала к уроку (по базе 1-11 классов) .
656,"Учитель географии и ДЖТ, всемирной истории",Зерделі,3161416,Полная занятость,Гибкий график,300000.0,600000.0,KZT,Другое,От 3 до 6 лет,Астана,"Астана, проспект Бауыржана Момышулы, 8",51.138471,71.474545,https://hh.ru/applicant/vacancy_response?vacancyId=108375215,https://hh.ru/vacancy/108375215,2024-10-08T20:12:40+0300,False,Пунктуальность. Методика.,
657,Менеджер по продажам,ИВАНОВ И.А. «Школа робототехники Byte»,2933087,Полная занятость,Гибкий график,200000.0,350000.0,KZT,"Менеджер по продажам, менеджер по работе с клиентами",Нет опыта,Усть-Каменогорск,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108953807,https://hh.ru/vacancy/108953807,2024-10-21T11:23:48+0300,False,"Желателен опыт работы в продажах или в сфере B2B-партнерств, предпочтительно с образовательными учреждениями. Отличные навыки переговоров и...",Поддержка существующих партнерств. Проведение презентаций: Организовывать и проводить презентации для детей и родителей. Контроль и планирование деятельности <highlighttext>преподавателей</highlighttext>. 
658,Администратор образовательного центра,АБДЫГАЛИ,11403327,Полная занятость,Сменный график,150000.0,180000.0,KZT,Администратор,Нет опыта,Атырау,"Атырау, улица Жубана Молдагалиева, 32",47.091617,51.915958,https://hh.ru/applicant/vacancy_response?vacancyId=108704954,https://hh.ru/vacancy/108704954,2024-10-16T06:16:33+0300,False,1. Грамотная письменная и устная речь на казахском и русском языке. 2. Высокий уровень коммуникабельности. 3. Стрессоустойчивость. 4. ,3. Работа с <highlighttext>преподавателями</highlighttext>: подготовка аудиторий для занятий; выдача списков групп и контроль посещаемости занятий; выдача материалов и оборудования для...
659,"Преподаватель IELTS ""Smart School""",IELTS CLUB,10363544,Полная занятость,Полный день,500000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, Минусинская улица, 13Б",43.229071,76.934533,https://hh.ru/applicant/vacancy_response?vacancyId=108239301,https://hh.ru/vacancy/108239301,2024-10-07T10:02:40+0300,False,Свободное владение английским языком (уровень C1 и выше). Опыт преподавания английского языка и подготовки к IELTS (желательно наличие международных...,Проведение интересных и эффективных уроков по подготовке к IELTS для студентов разных возрастных групп и уровней подготовки. Оценка прогресса студентов...
660,Преподаватель турецкого языка,Санем Исаева,5009210,Частичная занятость,Удаленная работа,100000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, Алмалинский район",43.254421,76.902184,https://hh.ru/applicant/vacancy_response?vacancyId=108742411,https://hh.ru/vacancy/108742411,2024-10-16T14:57:21+0300,False,Имеет опыт работы в качестве <highlighttext>преподавателя</highlighttext> и стремится развиваться в сфере образования. Владеет казахским и русским языками свободно. ,"Проводить занятия со студентами разного уровня. Составлять программу занятий и работать в команде. Проводить пробные занятия. Отслеживать показатели занятий, заполнять..."
661,Преподаватель по информатике в колледж,ALT Университет имени Мухамеджана Тынышпаева,1594173,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108184706,https://hh.ru/vacancy/108184706,2024-10-04T14:02:53+0300,False,"Высшее образование, информатика. Знание своего предмета. Ответственность, пунктуальность. Умение работать с подростками. Умение работать в команде. Умение вести интересно урок...","Организация учебного процесса в соответствии с установленными планами и стандартами. Организация обучения учащихся в различных формах (индивидуальных, самостоятельных, контрольных работах..."
662,Преподаватель по фортепиано,Qurmangazy music academy,8974600,Частичная занятость,Сменный график,150000.0,300000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,Астана,51.128207,71.43042,https://hh.ru/applicant/vacancy_response?vacancyId=108939808,https://hh.ru/vacancy/108939808,2024-10-21T10:01:38+0300,False,Ответственность. Пунктуальность. Вежливость. Внимательность. Целеустремленность.,Обучение по программе школы. Проведение промежуточных экзаменов своих учеников. Ведение отчетности обучения. Посещение тимбилдингов/общих мероприятий.
663,Head of content development (online learning platform)/руководитель отдела,BeyimTech,10777890,Полная занятость,Полный день,,,,Руководитель группы разработки,Более 6 лет,Астана,"Астана, улица Хусейн бен Талал, 21/1",51.085566,71.398269,https://hh.ru/applicant/vacancy_response?vacancyId=109232897,https://hh.ru/vacancy/109232897,2024-10-24T16:06:45+0300,False,"Опыт работы во взаимодействии с директорами школ, <highlighttext>учителями</highlighttext>, завучами. Опыт работы в разработке образовательного контента. Сильные организационные и многозадачные навыки. ","Управление командой экспертов по различным предметам (физика, химия, биология, математика и тд), дизайнерами, <highlighttext>учителями</highlighttext>, менеджерами. Внедрение отзывов от <highlighttext>педагогов</highlighttext> и..."
664,Преподаватель английского языка. Преподаватель по ментальной арифметике,DARYN,9354060,Полная занятость,Гибкий график,100000.0,180000.0,KZT,Переводчик,Нет опыта,Кокшетау,"Кокшетау, улица Ауельбекова, 139",53.285023,69.395224,https://hh.ru/applicant/vacancy_response?vacancyId=109424318,https://hh.ru/vacancy/109424318,2024-10-28T08:12:26+0300,False,Желание работать с детьми. Ответственность.,Преподавать детям школьного возраста.
665,Афк,ТӘТТІ ТІЛ ЛОГОПЕДИЯ ОРТАЛЫҒЫ,10622230,Полная занятость,Гибкий график,150000.0,400000.0,KZT,"Фитнес-тренер, инструктор тренажерного зала",От 1 года до 3 лет,Алматы,"Алматы, улица Е. Брусиловского, 159блок6",43.244814,76.875531,https://hh.ru/applicant/vacancy_response?vacancyId=107978879,https://hh.ru/vacancy/107978879,2024-10-01T10:25:35+0300,False,"Балаларды жақсы көретін, өзіне сенімді, опыт бар мамандар қажет!",Егер АФК бойынша жұмыс жасаған маман болсаңыз хабарласыңыз!
666,Преподаватель казахского языка,Qarmet,745101,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",Более 6 лет,Темиртау,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109650033,https://hh.ru/vacancy/109650033,2024-10-30T13:07:05+0300,False,"Знание казахского и русского языка в совершенстве. Опыт работы <highlighttext>преподавателем</highlighttext> приветствуется, но не обязателен. Знание MS Office на уровне опытного...","Проведение индивидуальных и групповых занятий казахского языка для работников компании. Использование эффективных и инновационных методов и средств преподавания, в том..."
667,Инструктор по ЛФК и по АФК,ИЗТУРГАНОВА А. Н.,11476515,Полная занятость,Полный день,130000.0,150000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Атырау,,,,https://hh.ru/applicant/vacancy_response?vacancyId=107990270,https://hh.ru/vacancy/107990270,2024-10-01T12:34:23+0300,False,"Стрессоустойчивость. Ответственность, трудолюбивость. Желание работать с детьми.",
668,Специалист по Сенсорной интеграции/педагог-сенсорик,Детский восстановительно-развивающий центр Апельсиновый берег,4411146,Полная занятость,Полный день,400000.0,450000.0,KZT,Психолог,От 1 года до 3 лет,Алматы,"Алматы, микрорайон Куаныш, 4",43.20632975545724,76.85567608598235,https://hh.ru/applicant/vacancy_response?vacancyId=109516456,https://hh.ru/vacancy/109516456,2024-10-29T04:42:57+0300,False,"Высшее или средне-специальное профильное образование, любовь к детям, желание работать на результат, умение находить контакт с детьми и родителями. ",
669,Учитель рисования,Шаихова,1122731,Полная занятость,Полный день,120000.0,200000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Астана,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108094934,https://hh.ru/vacancy/108094934,2024-10-02T22:39:42+0300,False,"Умение ладить с детьми. Владение преподаваемым предметом в совершенстве. Знание не только теории, но и практики. Умение заинтересовать своих учеников...",Организация учебного процесса. Преподавание детям в группе по расписанию.
670,Преподаватель начальных классов,ДЮСЕНБЕНОВА А.К.,9378935,Частичная занятость,Гибкий график,100000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 3 до 6 лет,Астана,"Астана, Есильский район, проспект Аль-Фараби, 7/2",51.10075,71.449132,https://hh.ru/applicant/vacancy_response?vacancyId=108233886,https://hh.ru/vacancy/108233886,2024-10-07T09:13:10+0300,False,"Умение работать с детьми, мотивирование детей, доброжелательность, желание работать на результат.","Обучение учащихся начальных классов (1-4 кл.), дошкольников. Выполнение домашнего задания, подготовка к СОР и СОЧ, закрепление материала, восполнение пробелов. "
671,Учитель программирования (разработчик),Частная Школа Пифагор,10425593,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,Алматы,43.20741858563959,76.84284012748886,https://hh.ru/applicant/vacancy_response?vacancyId=108843496,https://hh.ru/vacancy/108843496,2024-10-18T12:34:50+0300,False,"Умение держать аудиторию, пробуждать интерес к изучению предмета. Умение грамотно и простым языком объяснить материал. Энергичность (проактивность). Педагогический диплом. ","Преподавать ученикам по программам подготовки к вступительным экзаменам НИШ, РФМШ, БИЛ и другие специализированные школы, лицеи. Преподавать ученикам по школьным..."
672,Преподаватель английского языка,OXFORD CREATIVE SCHOOL,10612379,Частичная занятость,Полный день,100000.0,500000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Актобе,,,,https://hh.ru/applicant/vacancy_response?vacancyId=109230925,https://hh.ru/vacancy/109230925,2024-10-24T15:34:24+0300,False,"Английский на уровне Upper-Intermediate - Advanced. Пунктуальность (опоздания исключены). Стремление к развитию. Любовь к детям, умение и желание работать с...","Обязанности: Обучение детей и взрослых в группах и индивидуально (творческий подход к проведению занятий). Контроль посещения учащихся , обратная связь с..."
673,Учитель русского языка и литературы,Учебно-репетиторский центр Учазия,3836756,Полная занятость,Гибкий график,100000.0,150000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Петропавловск,"Петропавловск, улица Алтынсарина, 169",54.87136339893392,69.14095766864716,https://hh.ru/applicant/vacancy_response?vacancyId=107996404,https://hh.ru/vacancy/107996404,2024-10-01T13:53:28+0300,False,знание обновлённой программы обучения. - огромный плюс - знания двух языков: государственного (казахского) и русского. - желателен опыт работы по подготовки 11 класса. - ,работа с небольшими группами. - индивидуальные и занятия в парах. - объяснение непонятного материала учащимся. - проведение дистанционных занятий (по желанию). - 
674,Педагог для детей дошкольного возраста,ЛЯ Перла,2964683,Полная занятость,Полный день,170000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Костанай,"Костанай, проспект Аль-Фараби, 3",53.206305,63.646285,https://hh.ru/applicant/vacancy_response?vacancyId=108645938,https://hh.ru/vacancy/108645938,2024-10-15T07:31:12+0300,False,Высшее педагогическое образование либо среднее специальное образование. Опыт от 1 до 3 лет работы. Владение методиками раннего развития. ,Организация досуговой деятельности детей. Присмотр за детьми. Написание календарного плана.
675,Учитель русского языка и литературы,Школа-лицей Квант,11167548,Полная занятость,Полный день,450000.0,,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,село Байсерке,43.489634,77.040615,https://hh.ru/applicant/vacancy_response?vacancyId=108771334,https://hh.ru/vacancy/108771334,2024-10-29T08:18:39+0300,False,Квалификационные требования к <highlighttext>учителю</highlighttext> русского языка и литературы: Высшее образование по специальности. Знание Государственных общеобязательных стандартов образования и других нормативных...,"Отличное владение содержанием учебного предмета, учебно-воспитательным процессом, методикой преподавания и оценивания; педагогикой и психологией."
676,Педагог в группу мини сад,АЙМАГАМБЕТОВ Д. К.,10857441,Полная занятость,Полный день,,,,Другое,От 1 года до 3 лет,Астана,"Астана, улица Кайыма Мухамедханова, 6А",51.13933,71.389277,https://hh.ru/applicant/vacancy_response?vacancyId=108797071,https://hh.ru/vacancy/108797071,2024-10-29T13:18:25+0300,False,"Профильное образование. Стаж работы от 1 года. Творческий подход. Ответственность, вниманость, трудолюбие.",Проведение развивающих занятии. Общение с родителями. Поддержание в порядке кабинет.
677,Преподаватель английского языка,International British House,953402,Частичная занятость,Гибкий график,200000.0,350000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, улица Кенесары Хана, 54/10",43.171396,76.870986,https://hh.ru/applicant/vacancy_response?vacancyId=108816872,https://hh.ru/vacancy/108816872,2024-10-17T19:40:58+0300,False,Опыт преподавания индивидуально и в группах. Навыки подготовки к IELTS/TOEFL обязательно. Профессионал с высшим образованием. Опыт работы от 1...,Помогать студентам улучшать уровень и работать над их пробелами.
678,Логопед-дефектолог\ Нейропсихолог\ABA терапист,Детский коррекционный центр Первые шаги,3405438,Полная занятость,Полный день,150000.0,300000.0,KZT,"Учитель, преподаватель, педагог",Нет опыта,Алматы,"Алматы, улица Егизбаева, 7/7",43.231462,76.884335,https://hh.ru/applicant/vacancy_response?vacancyId=109124650,https://hh.ru/vacancy/109124650,2024-10-23T10:16:07+0300,False,Высшее педагогическое образование. Знание русского и казахского языка. Умение работать с детьми с задержками развития. Опыт работы с детьми с...,Проведение индивидуальных и групповых занятий по развитию речи и коррекции речевых нарушений. Работа с детьми‚ имеющими неврологическую патологию (задержки речевого...
679,Педагог по творческим занятиям по Молодежной практике,EcoEducation,9085036,Частичная занятость,Сменный график,110000.0,,KZT,"Учитель, преподаватель, педагог",Нет опыта,Астана,"Нур-Султан (Астана), проспект Кабанбай Батыра, 7/1",51.143223,71.416631,https://hh.ru/applicant/vacancy_response?vacancyId=108601146,https://hh.ru/vacancy/108601146,2024-10-14T11:08:42+0300,False,Только выпускники без опыта работы по специальности!!! Творческий подход. Мотивация учащихся. Качество образования.,Систематизированная поддержка уровня развитых талантов. Консультации для родителей по вопросам развития в ребенке определенных талантов и навыков.
680,Учитель истории,Частная Школа Пифагор,10425593,Полная занятость,Полный день,,,,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,Алматы,43.20741858563959,76.84284012748886,https://hh.ru/applicant/vacancy_response?vacancyId=108646992,https://hh.ru/vacancy/108646992,2024-10-15T07:59:37+0300,False,"Умение держать аудиторию, пробуждать интерес к изучению предмета. Умение грамотно и простым языком объяснить материал. Энергичность (проактивность). Педагогический диплом. ","Преподавать ученикам по программам подготовки к вступительным экзаменам НИШ, РФМШ, БИЛ и другие специализированные школы, лицеи. Преподавать ученикам по школьным..."
681,"Методист в ЯСЛИ-САД ""МИРАС"" Г. АСТАНА",Общественный фонд «NNEF»,3233320,Полная занятость,Полный день,,,,Другое,Более 6 лет,Астана,"Астана, микрорайон Акбулак-2, переулок Саркырама, 11/1",51.143206,71.448395,https://hh.ru/applicant/vacancy_response?vacancyId=109470433,https://hh.ru/vacancy/109470433,2024-10-28T14:54:04+0300,False,"Специалист высшего уровня квалификации высшей категории. Высшее педагогическое профильное образование. Стаж педагогической работы не менее 10 лет, в том числе...",...с требованиями государственного общеобязательного стандарта. Анализ состояния и результативности воспитательно-образовательной работы. Определение целей и задач совершенствования методической поддержки <highlighttext>педагогов</highlighttext>.
682,Преподаватель Английского Языка,Кузьмина М.С.,9056244,Частичная занятость,Полный день,100000.0,160000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Караганда,,,,https://hh.ru/applicant/vacancy_response?vacancyId=108091984,https://hh.ru/vacancy/108091984,2024-10-02T18:05:43+0300,False,Знание английского не ниже уровня B2. Умение работать в команде. Знание ПК.,Преподавать английский школьникам 1-11 класс. Взрослым. Групповые (3-6 чел) и индивидуальные уроки. Работа онлайн и оффлайн.
683,Преподаватель Английского языка (онлайн/оффлайн),Leader School (StudyOn),8991796,Частичная занятость,Гибкий график,200000.0,400000.0,KZT,"Учитель, преподаватель, педагог",От 1 года до 3 лет,Алматы,"Алматы, проспект Абая, 165/2",43.239317,76.883131,https://hh.ru/applicant/vacancy_response?vacancyId=108274412,https://hh.ru/vacancy/108274412,2024-10-28T14:16:46+0300,False,Высшее образование: Филологическое или педагогическое образование (желательно). Отличное знание английского языка: Носитель языка или уровень владения языком не ниже C...,Проведение занятий с группами и индивидуально. Разработка учебных материалов и планов занятий. Проведение тестирования и оценки знаний студентов. 
